Acorn
Amber
Ancient Screw
Ancient Spring
Ancient Gear
Ancient Shaft
Ancient Core
Blue Nightshade
Bokoblin Fang
Bokoblin Guts
Bokoblin Horn
Chuchu Jelly
Courser Bee Honey
Diamond
Dinraal's Claw
Dinraal's Scale
Electric Keese Wing
Energetic Rhino Beetle
Farosh's Claw
Farosh's Scale
Fire Keese Wing
Fireproof Lizard
Flint
Giant Ancient Core
Hearty Bass
Hightail Lizard
Hinox Guts
Hinox Toenail
Hinox Tooth
Hot-Footed Frog
Hyrule Bass
Ice Keese Wing
Icy Lizalfos Tail
Keese Eyeball
Keese Wing
Lizalfos Horn
Lizalfos Tail
Lizalfos Talon
Luminous Stone
Lynel Horn
Lynel Hoof
Lynel Guts
Moblin Fang
Moblin Guts
Moblin Horn
Molduga Fin
Molduga Guts
Naydra's Claw
Naydra's Scale
Octo Balloon
Octorok Eyeball
Octorok Tentacle
Opal
Red Chuchu Jelly
Red Lizalfos Tail
Ruby
Rushroom
Sapphire
Shard of Dinraal's Fang
Shard of Dinraal's Horn
Shard of Farosh's Fang
Shard of Farosh's Horn
Shard of Naydra's Fang
Shard of Naydra's Horn
Silent Princess
Silent Shroom
Smotherwing Butterfly
Sneaky River Snail
Star Fragment
Stealthfin Trout
Sunset Firefly
Sunshroom
Swift Carrot
Swift Violet
Topaz
Voltfruit
Warm Safflina
White Chuchu Jelly
Yellow Chuchu Jelly
Yellow Lizalfos Tail
Zapshroom
